,Valence Evaluation,Equality,Formality and Regulation,Concreteness,Goods Exchange,Coercion,Activeness,Activity Intensity,Communal Sharing,Uniqueness,Service Exchange,Importance for society,Endurance,Trust,Socioemotional,Expected Reciprocity,Love Expression,Generation Gap,Importance for individuals,Synchronicity,Attachment,Intimacy,Strategic,Information Exchange,Mating,Affiliation Coalition,Male Evaluation,Spatial Distance,Visibility,Money Exchange,Conflict,Negotiation,Occupational,Morality,Female Evaluation
捐助者-受惠者,"[50, 53, 77, 61, 97, 60, 87, 88, 85, 55]","[3, 36, 17, 11, 2, 16, 22, 86, 21, 47]","[51, 61, 46, 90, 97, 41, 31, 22, 46, 65]","[100, 87, 65, 90, 95, 82, 85, 95, 100, 100]","[2, 51, 34, 97, 6, 75, 81, 14, 87, 58]","[52, 0, 3, 2, 5, 33, 4, 46, 2, 3]","[90, 15, 51, 20, 96, 27, 73, 22, 89, 54]","[3, 44, 33, 23, 1, 68, 57, 50, 19, 45]","[53, 59, 86, 84, 1, 37, 9, 84, 98, 4]","[25, 32, 52, 12, 41, 0, 78, 16, 3, 24]","[36, 27, 2, 3, 13, 99, 14, 41, 2, 20]","[27, 57, 52, 3, 51, 47, 35, 70, 1, 53]","[6, 19, 23, 25, 33, 36, 13, 16, 3, 17]","[50, 93, 50, 39, 63, 62, 53, 48, 2, 81]","[59, 78, 52, 71, 20, 49, 10, 12, 98, 14]","[58, 12, 49, 39, 53, 56, 23, 25, 1, 35]","[56, 72, 99, 22, 60, 76, 53, 31, 97, 54]","[52, 75, 23, 65, 27, 49, 53, 69, 1, 73]","[43, 50, 38, 60, 100, 23, 61, 60, 1, 100]","[56, 17, 72, 49, 100, 98, 81, 88, 69, 12]","[50, 24, 7, 46, 23, 41, 61, 75, 1, 14]","[67, 25, 14, 46, 0, 38, 63, 53, 2, 23]","[70, 53, 23, 67, 49, 38, 15, 26, 1, 11]","[23, 32, 6, 53, 51, 14, 24, 28, 1, 8]","[12, 14, 1, 0, 0, 0, 2, 0, 1, 5]","[31, 71, 35, 51, 23, 63, 71, 67, 1, 4]","[54, 42, 58, 45, 52, 11, 43, 2, 51, 51]","[52, 47, 49, 15, 36, 72, 11, 47, 25, 64]","[74, 81, 0, 66, 71, 51, 93, 49, 51, 55]","[60, 87, 80, 16, 99, 95, 87, 58, 97, 65]","[6, 23, 0, 12, 8, 5, 0, 10, 9, 11]","[21, 84, 0, 5, 16, 1, 47, 70, 61, 25]","[14, 75, 0, 10, 68, 3, 3, 2, 9, 5]","[78, 84, 100, 80, 93, 98, 100, 80, 100, 84]","[66, 24, 0, 1, 50, 2, 0, 44, 5, 7]"
亲家之间,"[51, 72, 84, 85, 63, 76, 87, 50, 85, 100]","[89, 64, 57, 66, 99, 67, 73, 87, 84, 100]","[6, 46, 48, 21, 60, 24, 76, 24, 16, 6]","[79, 46, 49, 28, 95, 17, 36, 20, 48, 14]","[73, 24, 50, 38, 80, 29, 68, 45, 25, 9]","[15, 0, 13, 7, 55, 21, 62, 13, 1, 3]","[90, 80, 85, 78, 55, 74, 85, 48, 100, 96]","[54, 50, 66, 76, 54, 75, 77, 17, 74, 76]","[51, 51, 50, 74, 72, 72, 7, 48, 60, 48]","[3, 61, 100, 62, 85, 100, 89, 80, 79, 86]","[46, 14, 2, 5, 26, 2, 9, 19, 28, 10]","[83, 46, 100, 7, 30, 3, 9, 13, 26, 66]","[66, 43, 100, 95, 76, 91, 96, 82, 95, 85]","[50, 52, 81, 53, 80, 91, 88, 91, 65, 79]","[68, 74, 100, 81, 66, 99, 80, 82, 64, 44]","[66, 60, 97, 53, 21, 71, 13, 18, 36, 73]","[61, 52, 50, 52, 58, 75, 83, 88, 62, 42]","[0, 2, 1, 5, 1, 0, 30, 11, 13, 5]","[71, 64, 80, 73, 81, 78, 45, 77, 77, 4]","[87, 32, 44, 55, 52, 59, 16, 51, 97, 7]","[78, 80, 85, 29, 82, 99, 67, 65, 24, 32]","[59, 60, 60, 54, 51, 65, 41, 60, 52, 65]","[51, 40, 9, 22, 54, 58, 25, 70, 51, 8]","[73, 62, 74, 59, 82, 91, 70, 63, 38, 68]","[92, 10, 76, 0, 50, 65, 35, 71, 28, 24]","[73, 73, 85, 52, 50, 100, 73, 83, 53, 2]","[49, 26, 22, 5, 0, 0, 68, 2, 1, 0]","[54, 31, 100, 57, 47, 52, 95, 53, 73, 73]","[98, 86, 100, 57, 92, 95, 37, 16, 100, 67]","[52, 65, 24, 25, 48, 53, 10, 23, 17, 71]","[52, 62, 52, 17, 15, 77, 2, 28, 6, 41]","[51, 80, 22, 76, 69, 85, 100, 72, 62, 75]","[2, 19, 0, 19, 0, 2, 0, 9, 4, 27]","[49, 82, 81, 81, 50, 75, 86, 65, 79, 64]","[50, 24, 0, 29, 50, 2, 0, 45, 5, 8]"
同窗之间,"[98, 52, 95, 75, 90, 23, 61, 86, 64, 51]","[90, 69, 60, 66, 98, 69, 88, 81, 100, 100]","[4, 97, 11, 23, 24, 37, 60, 18, 11, 3]","[81, 0, 22, 18, 25, 12, 19, 21, 2, 3]","[5, 0, 7, 25, 14, 30, 25, 10, 17, 11]","[2, 0, 4, 18, 3, 16, 33, 29, 2, 8]","[90, 85, 91, 61, 9, 58, 51, 87, 94, 16]","[100, 82, 91, 83, 38, 55, 60, 19, 98, 49]","[51, 76, 87, 66, 29, 50, 81, 51, 48, 11]","[31, 24, 100, 21, 92, 4, 12, 43, 54, 49]","[26, 5, 2, 5, 12, 0, 29, 38, 28, 8]","[74, 74, 100, 1, 12, 16, 24, 53, 40, 66]","[78, 14, 100, 25, 71, 68, 72, 50, 82, 91]","[72, 63, 100, 45, 87, 79, 59, 24, 40, 65]","[75, 79, 99, 61, 85, 91, 18, 44, 57, 77]","[15, 11, 98, 54, 41, 39, 57, 54, 74, 32]","[66, 42, 100, 54, 75, 75, 69, 58, 31, 70]","[34, 7, 1, 5, 6, 1, 21, 8, 2, 4]","[57, 43, 51, 89, 100, 43, 49, 53, 61, 5]","[88, 83, 79, 75, 100, 100, 18, 71, 96, 100]","[51, 80, 53, 61, 100, 97, 57, 52, 53, 6]","[60, 36, 36, 86, 82, 55, 79, 57, 39, 47]","[17, 28, 55, 0, 0, 38, 24, 39, 33, 7]","[87, 51, 61, 85, 100, 90, 62, 57, 39, 59]","[11, 13, 26, 5, 0, 0, 6, 0, 1, 5]","[58, 74, 60, 75, 100, 99, 76, 62, 51, 3]","[86, 67, 82, 15, 52, 80, 68, 96, 86, 77]","[91, 90, 78, 58, 91, 70, 85, 84, 100, 65]","[100, 79, 100, 64, 93, 90, 72, 80, 100, 72]","[13, 46, 0, 29, 19, 4, 0, 5, 10, 17]","[39, 48, 0, 46, 26, 17, 5, 5, 4, 40]","[19, 80, 22, 56, 76, 18, 100, 70, 63, 55]","[9, 46, 0, 27, 0, 52, 16, 6, 4, 32]","[67, 87, 100, 61, 52, 72, 72, 67, 61, 75]","[12, 19, 0, 0, 12, 1, 0, 6, 4, 7]"
姨父姨妈-侄子侄女,"[49, 78, 94, 73, 94, 62, 68, 51, 84, 97]","[5, 5, 56, 5, 58, 20, 9, 37, 0, 12]","[7, 0, 18, 42, 42, 33, 81, 19, 2, 7]","[1, 48, 44, 31, 93, 6, 18, 14, 5, 15]","[4, 4, 13, 5, 6, 38, 10, 11, 5, 7]","[2, 0, 4, 5, 4, 22, 7, 32, 1, 3]","[51, 47, 88, 65, 82, 53, 61, 57, 26, 0]","[2, 51, 61, 70, 96, 56, 54, 13, 75, 71]","[100, 68, 78, 69, 97, 30, 67, 51, 54, 64]","[14, 62, 100, 49, 81, 96, 86, 39, 87, 80]","[26, 18, 2, 7, 25, 1, 4, 23, 39, 8]","[70, 54, 100, 17, 19, 1, 9, 11, 35, 11]","[100, 65, 100, 82, 84, 99, 83, 69, 97, 97]","[74, 42, 86, 34, 71, 82, 64, 50, 56, 77]","[79, 90, 100, 85, 71, 100, 80, 62, 43, 75]","[19, 10, 50, 37, 18, 5, 9, 60, 53, 42]","[85, 41, 83, 64, 59, 76, 90, 52, 80, 66]","[100, 77, 99, 31, 80, 87, 81, 87, 51, 76]","[40, 21, 64, 62, 81, 18, 40, 63, 23, 6]","[66, 26, 13, 21, 52, 28, 16, 16, 3, 9]","[60, 52, 69, 28, 53, 61, 65, 62, 55, 48]","[65, 53, 57, 83, 50, 44, 43, 65, 55, 24]","[7, 45, 16, 22, 0, 28, 19, 30, 34, 8]","[72, 38, 70, 55, 52, 60, 48, 61, 43, 93]","[90, 5, 1, 0, 0, 2, 49, 19, 1, 4]","[51, 42, 75, 54, 50, 94, 72, 56, 29, 2]","[53, 22, 41, 4, 0, 0, 2, 1, 19, 4]","[52, 60, 50, 74, 49, 75, 46, 52, 49, 61]","[92, 89, 100, 53, 94, 92, 42, 38, 100, 77]","[10, 64, 20, 9, 47, 24, 0, 6, 22, 33]","[31, 36, 53, 6, 16, 13, 2, 9, 9, 36]","[13, 83, 22, 47, 55, 18, 76, 73, 62, 61]","[6, 17, 0, 8, 4, 6, 0, 7, 5, 7]","[51, 83, 81, 76, 50, 75, 65, 61, 55, 55]","[49, 20, 0, 34, 51, 2, 0, 46, 5, 8]"
考官-考生,"[97, 49, 27, 51, 51, 26, 64, 70, 59, 49]","[4, 0, 5, 0, 8, 30, 6, 41, 0, 12]","[100, 92, 91, 98, 97, 80, 86, 86, 100, 100]","[2, 18, 33, 0, 52, 74, 20, 17, 11, 27]","[5, 5, 45, 7, 7, 77, 18, 12, 3, 47]","[2, 0, 14, 0, 97, 22, 88, 24, 3, 2]","[51, 17, 37, 42, 1, 24, 83, 29, 61, 39]","[3, 19, 14, 34, 3, 18, 71, 59, 29, 10]","[51, 50, 14, 34, 2, 16, 24, 58, 19, 24]","[31, 20, 0, 6, 63, 18, 47, 18, 26, 85]","[69, 10, 2, 5, 38, 17, 48, 82, 81, 7]","[89, 83, 100, 31, 81, 93, 83, 88, 85, 86]","[3, 11, 8, 10, 77, 91, 10, 16, 2, 42]","[45, 62, 100, 12, 71, 72, 94, 32, 2, 61]","[25, 24, 2, 3, 51, 6, 1, 18, 5, 25]","[61, 58, 2, 6, 60, 66, 1, 24, 2, 68]","[22, 2, 0, 3, 45, 0, 17, 12, 5, 26]","[24, 88, 77, 66, 90, 80, 72, 72, 92, 90]","[49, 30, 53, 73, 100, 21, 21, 88, 3, 100]","[54, 29, 38, 63, 100, 100, 81, 91, 3, 5]","[42, 29, 19, 61, 100, 38, 41, 12, 3, 5]","[28, 23, 0, 18, 0, 4, 49, 58, 3, 18]","[59, 67, 18, 59, 51, 46, 19, 84, 91, 9]","[60, 34, 3, 66, 53, 34, 16, 13, 1, 27]","[3, 17, 3, 0, 0, 0, 6, 0, 1, 4]","[61, 69, 22, 66, 52, 54, 79, 42, 26, 3]","[94, 78, 100, 100, 100, 100, 67, 97, 81, 3]","[52, 59, 100, 1, 50, 90, 69, 90, 58, 22]","[100, 83, 100, 15, 100, 96, 87, 51, 100, 80]","[53, 53, 24, 2, 0, 18, 19, 6, 16, 21]","[60, 57, 51, 14, 10, 53, 33, 8, 9, 33]","[20, 19, 0, 2, 3, 72, 3, 39, 46, 12]","[75, 86, 100, 94, 100, 98, 97, 52, 4, 78]","[40, 83, 100, 80, 99, 92, 91, 58, 100, 68]","[3, 22, 0, 0, 0, 2, 0, 6, 6, 7]"
挚友之间,"[100, 97, 93, 94, 98, 66, 90, 85, 100, 100]","[100, 99, 96, 95, 98, 76, 95, 87, 100, 100]","[5, 0, 3, 3, 5, 29, 4, 24, 0, 4]","[3, 1, 43, 6, 20, 15, 9, 21, 3, 5]","[3, 0, 12, 9, 1, 27, 73, 20, 7, 11]","[2, 4, 4, 3, 3, 24, 4, 15, 0, 3]","[100, 100, 97, 100, 96, 80, 90, 88, 100, 100]","[100, 90, 98, 98, 99, 76, 88, 85, 100, 100]","[100, 98, 93, 88, 99, 68, 95, 74, 96, 100]","[22, 90, 100, 99, 100, 91, 92, 76, 87, 94]","[9, 12, 2, 3, 0, 1, 18, 19, 3, 3]","[30, 72, 100, 7, 10, 2, 20, 24, 2, 21]","[95, 87, 100, 87, 89, 100, 78, 66, 82, 93]","[91, 97, 100, 100, 94, 100, 93, 80, 77, 88]","[97, 92, 100, 100, 80, 100, 89, 89, 91, 95]","[4, 64, 99, 100, 6, 0, 3, 83, 2, 17]","[88, 35, 87, 100, 97, 100, 87, 89, 91, 90]","[32, 2, 1, 8, 8, 0, 4, 10, 1, 2]","[94, 88, 81, 84, 100, 100, 83, 92, 89, 4]","[97, 49, 55, 51, 100, 61, 60, 68, 84, 66]","[94, 83, 81, 75, 100, 100, 72, 89, 63, 100]","[95, 70, 65, 100, 100, 100, 91, 96, 58, 100]","[8, 23, 7, 0, 0, 0, 12, 22, 1, 5]","[92, 56, 77, 90, 100, 97, 88, 88, 65, 72]","[31, 38, 48, 0, 0, 0, 7, 6, 3, 4]","[57, 71, 93, 77, 100, 100, 79, 83, 95, 20]","[87, 23, 0, 17, 0, 0, 65, 2, 93, 3]","[54, 77, 100, 79, 49, 58, 69, 83, 100, 57]","[91, 83, 100, 37, 71, 15, 30, 54, 100, 32]","[5, 50, 24, 10, 10, 6, 0, 8, 5, 32]","[20, 15, 0, 5, 7, 22, 0, 10, 3, 8]","[8, 83, 23, 81, 78, 5, 100, 73, 92, 50]","[4, 16, 0, 6, 0, 2, 0, 6, 8, 25]","[91, 86, 100, 91, 79, 69, 100, 91, 100, 87]","[49, 23, 0, 26, 50, 2, 0, 46, 3, 8]"
绿林好汉的头领-属下(喽啰),"[49, 58, 86, 54, 86, 21, 83, 35, 72, 50]","[4, 0, 22, 22, 87, 17, 6, 29, 0, 2]","[51, 88, 24, 79, 3, 78, 38, 89, 4, 5]","[51, 87, 48, 65, 14, 82, 57, 92, 1, 68]","[16, 7, 27, 45, 6, 76, 60, 81, 26, 49]","[80, 50, 44, 25, 48, 55, 92, 79, 37, 10]","[50, 83, 95, 57, 91, 21, 72, 28, 87, 85]","[26, 27, 84, 64, 93, 19, 69, 16, 89, 28]","[2, 17, 98, 32, 84, 21, 32, 16, 31, 21]","[58, 9, 0, 8, 61, 57, 57, 17, 6, 49]","[17, 78, 54, 20, 69, 3, 57, 80, 1, 69]","[63, 15, 50, 11, 66, 2, 58, 77, 48, 52]","[54, 2, 52, 8, 26, 56, 60, 62, 57, 73]","[86, 36, 50, 69, 57, 78, 70, 29, 61, 68]","[88, 27, 2, 2, 51, 11, 7, 15, 83, 75]","[93, 6, 26, 54, 83, 36, 42, 30, 24, 78]","[58, 12, 0, 7, 8, 34, 44, 15, 36, 60]","[18, 82, 49, 27, 88, 45, 30, 46, 58, 75]","[62, 25, 66, 47, 20, 56, 18, 65, 54, 40]","[88, 26, 64, 44, 100, 61, 48, 68, 2, 11]","[92, 51, 58, 4, 22, 73, 31, 70, 2, 9]","[60, 25, 24, 6, 0, 61, 20, 64, 24, 44]","[56, 66, 60, 68, 51, 47, 75, 42, 74, 47]","[95, 67, 57, 54, 23, 82, 11, 71, 3, 36]","[23, 7, 12, 0, 0, 0, 8, 0, 3, 5]","[98, 23, 81, 88, 100, 100, 30, 83, 98, 81]","[92, 74, 100, 94, 100, 85, 75, 97, 69, 3]","[92, 42, 100, 52, 72, 91, 82, 81, 100, 73]","[80, 85, 47, 51, 88, 1, 100, 48, 100, 96]","[24, 78, 20, 44, 69, 27, 10, 28, 3, 71]","[43, 75, 100, 44, 46, 3, 50, 48, 4, 41]","[51, 16, 24, 37, 0, 73, 40, 34, 6, 39]","[64, 82, 100, 47, 98, 67, 68, 70, 4, 57]","[64, 37, 21, 29, 49, 1, 36, 16, 52, 63]","[15, 19, 0, 1, 1, 1, 0, 9, 3, 7]"
邻里之间,"[98, 53, 83, 49, 70, 68, 58, 52, 71, 72]","[93, 64, 95, 92, 78, 63, 84, 80, 71, 100]","[6, 11, 11, 16, 86, 37, 76, 19, 1, 5]","[53, 48, 50, 1, 34, 20, 62, 16, 48, 23]","[16, 48, 54, 20, 15, 25, 65, 21, 62, 100]","[2, 0, 8, 12, 4, 17, 63, 12, 0, 3]","[80, 76, 80, 78, 9, 25, 54, 73, 87, 53]","[51, 51, 52, 90, 26, 76, 69, 58, 100, 55]","[51, 72, 56, 39, 16, 13, 46, 20, 60, 55]","[2, 13, 100, 12, 53, 2, 8, 21, 17, 30]","[35, 32, 2, 2, 18, 10, 34, 26, 57, 36]","[69, 73, 100, 12, 61, 73, 19, 12, 27, 82]","[21, 27, 99, 24, 17, 88, 55, 51, 67, 62]","[65, 57, 81, 16, 56, 77, 56, 44, 23, 58]","[70, 70, 100, 75, 51, 89, 22, 60, 55, 57]","[59, 76, 99, 86, 53, 66, 69, 86, 48, 58]","[63, 39, 80, 27, 31, 72, 61, 61, 10, 61]","[51, 2, 49, 5, 44, 45, 53, 50, 1, 11]","[29, 30, 49, 39, 78, 67, 61, 65, 16, 40]","[50, 53, 43, 9, 52, 52, 26, 60, 70, 9]","[59, 78, 52, 68, 85, 98, 49, 61, 29, 11]","[62, 48, 24, 58, 0, 51, 53, 64, 66, 45]","[36, 23, 49, 52, 49, 44, 20, 35, 49, 6]","[61, 25, 58, 68, 81, 99, 61, 69, 23, 58]","[13, 23, 15, 0, 0, 0, 13, 41, 1, 4]","[73, 78, 61, 67, 50, 82, 76, 63, 9, 4]","[49, 29, 52, 52, 0, 0, 7, 2, 4, 3]","[94, 55, 50, 83, 94, 88, 98, 89, 100, 67]","[100, 84, 100, 76, 100, 100, 61, 83, 100, 78]","[41, 51, 24, 16, 49, 11, 0, 9, 29, 61]","[38, 26, 100, 48, 27, 14, 4, 38, 72, 53]","[12, 85, 23, 52, 69, 69, 100, 72, 57, 72]","[2, 18, 0, 16, 0, 6, 8, 6, 5, 15]","[51, 78, 81, 58, 62, 74, 68, 51, 47, 54]","[63, 25, 0, 1, 51, 2, 0, 45, 4, 7]"
生意竞争对手之间,"[1, 8, 15, 14, 2, 22, 25, 3, 0, 2]","[93, 12, 84, 81, 98, 34, 70, 72, 71, 100]","[7, 71, 28, 53, 94, 75, 72, 82, 61, 21]","[51, 99, 87, 59, 97, 81, 85, 86, 99, 66]","[15, 71, 61, 29, 96, 75, 54, 55, 27, 85]","[50, 48, 29, 63, 97, 47, 90, 81, 74, 100]","[3, 9, 47, 42, 98, 29, 16, 81, 68, 24]","[25, 9, 72, 83, 1, 13, 24, 30, 81, 60]","[2, 0, 9, 12, 2, 22, 6, 19, 11, 5]","[38, 60, 0, 6, 32, 14, 18, 18, 2, 16]","[20, 10, 2, 4, 95, 2, 18, 69, 93, 7]","[63, 22, 100, 2, 80, 58, 31, 58, 84, 63]","[28, 2, 52, 5, 12, 48, 52, 28, 2, 39]","[8, 0, 0, 6, 10, 0, 41, 15, 2, 20]","[8, 75, 0, 5, 0, 1, 4, 22, 1, 17]","[20, 10, 3, 3, 77, 100, 28, 88, 98, 55]","[7, 19, 0, 0, 0, 0, 18, 13, 2, 4]","[49, 2, 23, 6, 29, 19, 47, 57, 3, 6]","[64, 56, 51, 27, 23, 8, 17, 68, 5, 100]","[37, 60, 69, 64, 50, 61, 53, 65, 83, 29]","[5, 29, 28, 0, 0, 5, 19, 2, 1, 5]","[5, 17, 8, 14, 0, 2, 8, 9, 3, 4]","[95, 70, 82, 100, 100, 100, 82, 94, 100, 100]","[2, 55, 42, 6, 23, 51, 10, 7, 2, 8]","[10, 14, 1, 0, 0, 0, 1, 0, 1, 4]","[5, 19, 31, 12, 0, 0, 21, 14, 2, 2]","[60, 65, 82, 62, 52, 90, 72, 2, 69, 56]","[84, 74, 0, 60, 49, 50, 53, 47, 3, 42]","[47, 70, 0, 55, 51, 5, 57, 16, 18, 67]","[77, 84, 100, 87, 98, 98, 100, 77, 5, 94]","[91, 90, 100, 84, 95, 99, 99, 99, 100, 86]","[84, 82, 51, 70, 48, 97, 90, 45, 3, 67]","[94, 66, 100, 77, 100, 71, 89, 88, 6, 85]","[50, 55, 23, 52, 31, 49, 37, 41, 3, 46]","[7, 25, 0, 1, 50, 1, 0, 6, 4, 8]"
官员-行贿者,"[49, 23, 87, 82, 56, 71, 81, 63, 65, 81]","[2, 0, 12, 16, 2, 14, 23, 24, 0, 5]","[51, 18, 13, 17, 4, 77, 8, 19, 100, 4]","[100, 92, 100, 76, 94, 80, 61, 85, 50, 100]","[100, 100, 92, 74, 97, 78, 83, 80, 100, 100]","[54, 50, 76, 71, 90, 61, 88, 68, 67, 56]","[3, 8, 51, 50, 98, 24, 77, 85, 76, 100]","[21, 8, 21, 49, 4, 13, 64, 92, 11, 22]","[2, 0, 6, 7, 2, 16, 6, 13, 0, 3]","[54, 65, 51, 12, 64, 45, 75, 21, 2, 34]","[97, 81, 54, 16, 92, 96, 18, 82, 89, 88]","[85, 29, 53, 4, 7, 90, 70, 71, 1, 87]","[5, 15, 23, 15, 5, 6, 26, 11, 2, 45]","[70, 41, 52, 3, 17, 3, 39, 32, 23, 22]","[8, 25, 50, 4, 12, 11, 3, 19, 2, 11]","[100, 76, 20, 3, 88, 98, 76, 22, 96, 88]","[3, 12, 1, 2, 0, 0, 75, 19, 3, 3]","[27, 89, 51, 84, 98, 63, 57, 77, 2, 78]","[95, 12, 52, 13, 21, 12, 66, 44, 3, 100]","[79, 24, 27, 15, 51, 83, 77, 90, 2, 5]","[98, 26, 7, 3, 0, 4, 33, 15, 1, 7]","[2, 23, 4, 3, 0, 2, 66, 14, 4, 4]","[99, 74, 90, 100, 81, 100, 88, 93, 97, 8]","[90, 71, 43, 49, 51, 67, 62, 74, 98, 77]","[1, 11, 1, 0, 0, 0, 4, 0, 3, 5]","[98, 72, 55, 30, 52, 69, 45, 66, 58, 16]","[95, 56, 78, 92, 100, 62, 62, 60, 81, 67]","[51, 88, 0, 42, 49, 96, 26, 71, 6, 60]","[39, 15, 0, 5, 0, 1, 0, 14, 3, 14]","[90, 91, 100, 97, 100, 94, 100, 79, 100, 88]","[32, 84, 51, 54, 47, 98, 44, 57, 99, 46]","[76, 84, 51, 35, 0, 2, 43, 72, 86, 68]","[50, 82, 83, 8, 99, 1, 93, 68, 7, 83]","[1, 20, 0, 3, 0, 2, 0, 15, 3, 7]","[8, 20, 0, 3, 4, 3, 0, 6, 4, 7]"
堂兄弟姐妹之间,"[90, 21, 75, 68, 76, 70, 74, 58, 89, 96]","[2, 75, 94, 92, 56, 63, 93, 86, 56, 100]","[6, 41, 8, 33, 83, 31, 62, 24, 9, 5]","[2, 62, 50, 24, 30, 20, 15, 19, 2, 4]","[2, 3, 15, 20, 30, 28, 13, 12, 7, 7]","[2, 0, 11, 7, 6, 20, 7, 74, 0, 1]","[89, 33, 68, 65, 17, 65, 61, 80, 29, 2]","[52, 47, 28, 95, 56, 59, 64, 16, 80, 71]","[85, 67, 74, 80, 84, 60, 80, 21, 57, 50]","[3, 77, 100, 73, 69, 53, 95, 51, 62, 77]","[17, 11, 2, 7, 49, 1, 10, 31, 20, 4]","[67, 67, 100, 14, 18, 1, 5, 16, 29, 21]","[100, 53, 85, 100, 90, 99, 83, 58, 96, 96]","[80, 34, 88, 22, 64, 87, 79, 53, 77, 76]","[80, 74, 99, 69, 74, 96, 82, 80, 69, 80]","[26, 12, 80, 68, 83, 2, 7, 55, 71, 19]","[69, 48, 99, 63, 63, 93, 82, 40, 68, 63]","[0, 1, 2, 9, 30, 0, 5, 7, 14, 4]","[22, 29, 84, 45, 81, 71, 55, 80, 66, 6]","[77, 23, 32, 29, 52, 34, 47, 44, 75, 8]","[84, 66, 79, 42, 82, 98, 53, 73, 47, 40]","[66, 58, 73, 52, 77, 53, 42, 73, 46, 25]","[6, 25, 16, 28, 23, 20, 12, 30, 22, 9]","[71, 35, 78, 61, 79, 82, 40, 64, 29, 92]","[89, 9, 1, 56, 52, 3, 15, 42, 11, 6]","[81, 71, 82, 63, 50, 90, 71, 71, 27, 4]","[53, 21, 34, 48, 0, 0, 11, 2, 10, 3]","[85, 56, 51, 76, 69, 85, 86, 55, 24, 61]","[98, 84, 100, 41, 84, 85, 33, 48, 100, 65]","[17, 47, 50, 11, 49, 15, 0, 9, 5, 39]","[26, 48, 52, 11, 13, 19, 2, 11, 36, 24]","[6, 74, 22, 64, 61, 15, 92, 70, 57, 62]","[4, 22, 0, 8, 5, 5, 0, 6, 4, 8]","[79, 84, 81, 83, 50, 71, 61, 44, 45, 64]","[59, 21, 52, 10, 49, 2, 5, 47, 3, 6]"
人神之间,"[98, 50, 59, 71, 50, 63, 63, 84, 74, 50]","[2, 0, 2, 0, 1, 12, 2, 84, 0, 4]","[100, 95, 74, 100, 100, 75, 89, 15, 100, 2]","[3, 49, 20, 13, 53, 14, 18, 29, 38, 3]","[3, 9, 16, 91, 56, 61, 2, 12, 94, 93]","[2, 0, 2, 1, 99, 23, 97, 18, 66, 5]","[100, 6, 17, 41, 1, 32, 0, 14, 10, 4]","[49, 3, 56, 24, 1, 77, 54, 95, 7, 5]","[100, 50, 17, 2, 2, 34, 2, 90, 76, 1]","[3, 46, 100, 4, 71, 0, 37, 73, 1, 2]","[69, 57, 2, 2, 12, 98, 54, 23, 1, 18]","[82, 75, 100, 4, 85, 100, 70, 77, 99, 76]","[85, 100, 99, 100, 75, 97, 56, 69, 97, 84]","[68, 91, 100, 4, 79, 100, 63, 72, 2, 85]","[42, 93, 100, 100, 47, 32, 2, 57, 99, 69]","[64, 26, 52, 3, 25, 94, 48, 43, 1, 56]","[43, 87, 1, 2, 3, 90, 47, 52, 1, 56]","[100, 92, 100, 100, 81, 100, 47, 80, 99, 99]","[89, 50, 58, 49, 80, 59, 40, 65, 97, 3]","[21, 15, 2, 5, 0, 7, 16, 4, 1, 3]","[56, 67, 52, 76, 100, 57, 30, 68, 1, 3]","[81, 29, 0, 24, 0, 13, 53, 6, 2, 5]","[72, 29, 8, 15, 0, 4, 12, 52, 99, 4]","[48, 22, 19, 28, 81, 65, 16, 0, 1, 1]","[3, 15, 1, 40, 0, 0, 12, 29, 1, 4]","[31, 71, 62, 52, 24, 14, 73, 20, 2, 3]","[56, 18, 74, 15, 0, 0, 46, 4, 83, 3]","[51, 17, 0, 5, 30, 1, 0, 15, 1, 0]","[46, 71, 0, 54, 100, 98, 100, 87, 100, 66]","[43, 47, 0, 6, 0, 57, 45, 6, 2, 56]","[19, 25, 0, 1, 50, 56, 47, 10, 4, 53]","[49, 16, 0, 3, 0, 97, 11, 6, 2, 4]","[25, 12, 0, 15, 0, 2, 50, 11, 5, 2]","[50, 80, 100, 92, 81, 98, 66, 84, 100, 95]","[64, 24, 0, 1, 50, 3, 0, 45, 2, 8]"
